Palavra,Link,Instituicao
33,https://media.spreadthesign.com/video/mp4/14/549344.mp4,Spread the Sign
34,https://media.spreadthesign.com/video/mp4/14/549345.mp4,Spread the Sign
35,https://media.spreadthesign.com/video/mp4/14/549346.mp4,Spread the Sign
36,https://media.spreadthesign.com/video/mp4/14/549348.mp4,Spread the Sign
37,https://media.spreadthesign.com/video/mp4/14/549349.mp4,Spread the Sign
38,https://media.spreadthesign.com/video/mp4/14/549350.mp4,Spread the Sign
39,https://media.spreadthesign.com/video/mp4/14/549351.mp4,Spread the Sign
4,https://media.spreadthesign.com/video/mp4/14/549355.mp4,Spread the Sign
4.000,https://media.spreadthesign.com/video/mp4/14/549356.mp4,Spread the Sign
40,https://media.spreadthesign.com/video/mp4/14/549357.mp4,Spread the Sign
40.000,https://media.spreadthesign.com/video/mp4/14/549358.mp4,Spread the Sign
400,https://media.spreadthesign.com/video/mp4/14/549359.mp4,Spread the Sign
400.000,https://media.spreadthesign.com/video/mp4/14/549360.mp4,Spread the Sign
41,https://media.spreadthesign.com/video/mp4/14/549361.mp4,Spread the Sign
42,https://media.spreadthesign.com/video/mp4/14/549362.mp4,Spread the Sign
43,https://media.spreadthesign.com/video/mp4/14/549363.mp4,Spread the Sign
44,https://media.spreadthesign.com/video/mp4/14/549364.mp4,Spread the Sign
45,https://media.spreadthesign.com/video/mp4/14/549365.mp4,Spread the Sign
45,https://media.spreadthesign.com/video/mp4/14/549366.mp4,Spread the Sign
46,https://media.spreadthesign.com/video/mp4/14/549367.mp4,Spread the Sign
47,https://media.spreadthesign.com/video/mp4/14/549368.mp4,Spread the Sign
48,https://media.spreadthesign.com/video/mp4/14/549369.mp4,Spread the Sign
49,https://media.spreadthesign.com/video/mp4/14/549370.mp4,Spread the Sign
5,https://media.spreadthesign.com/video/mp4/14/549371.mp4,Spread the Sign
50,https://media.spreadthesign.com/video/mp4/14/549372.mp4,Spread the Sign
50 000,https://media.spreadthesign.com/video/mp4/14/549373.mp4,Spread the Sign
500,https://media.spreadthesign.com/video/mp4/14/549374.mp4,Spread the Sign
500 000,https://media.spreadthesign.com/video/mp4/14/549375.mp4,Spread the Sign
5000,https://media.spreadthesign.com/video/mp4/14/549376.mp4,Spread the Sign
51,https://media.spreadthesign.com/video/mp4/14/549377.mp4,Spread the Sign
52,https://media.spreadthesign.com/video/mp4/14/549378.mp4,Spread the Sign
53,https://media.spreadthesign.com/video/mp4/14/549379.mp4,Spread the Sign
54,https://media.spreadthesign.com/video/mp4/14/549380.mp4,Spread the Sign
55,https://media.spreadthesign.com/video/mp4/14/549381.mp4,Spread the Sign
56,https://media.spreadthesign.com/video/mp4/14/549382.mp4,Spread the Sign
57,https://media.spreadthesign.com/video/mp4/14/549383.mp4,Spread the Sign
58,https://media.spreadthesign.com/video/mp4/14/549384.mp4,Spread the Sign
59,https://media.spreadthesign.com/video/mp4/14/549385.mp4,Spread the Sign
6,https://media.spreadthesign.com/video/mp4/14/549386.mp4,Spread the Sign
60,https://media.spreadthesign.com/video/mp4/14/549387.mp4,Spread the Sign
60 000,https://media.spreadthesign.com/video/mp4/14/549388.mp4,Spread the Sign
600,https://media.spreadthesign.com/video/mp4/14/549389.mp4,Spread the Sign
600 000,https://media.spreadthesign.com/video/mp4/14/549390.mp4,Spread the Sign
6000,https://media.spreadthesign.com/video/mp4/14/549391.mp4,Spread the Sign
61,https://media.spreadthesign.com/video/mp4/14/549392.mp4,Spread the Sign
62,https://media.spreadthesign.com/video/mp4/14/549393.mp4,Spread the Sign
63,https://media.spreadthesign.com/video/mp4/14/549394.mp4,Spread the Sign
64,https://media.spreadthesign.com/video/mp4/14/549395.mp4,Spread the Sign
65,https://media.spreadthesign.com/video/mp4/14/549396.mp4,Spread the Sign
66,https://media.spreadthesign.com/video/mp4/14/549397.mp4,Spread the Sign
67,https://media.spreadthesign.com/video/mp4/14/549398.mp4,Spread the Sign
68,https://media.spreadthesign.com/video/mp4/14/549399.mp4,Spread the Sign
69,https://media.spreadthesign.com/video/mp4/14/549400.mp4,Spread the Sign
7,https://media.spreadthesign.com/video/mp4/14/549401.mp4,Spread the Sign
70,https://media.spreadthesign.com/video/mp4/14/549402.mp4,Spread the Sign
70 000,https://media.spreadthesign.com/video/mp4/14/549403.mp4,Spread the Sign
700,https://media.spreadthesign.com/video/mp4/14/549404.mp4,Spread the Sign
700 000,https://media.spreadthesign.com/video/mp4/14/549405.mp4,Spread the Sign
7000,https://media.spreadthesign.com/video/mp4/14/549406.mp4,Spread the Sign
71,https://media.spreadthesign.com/video/mp4/14/549407.mp4,Spread the Sign
72,https://media.spreadthesign.com/video/mp4/14/549408.mp4,Spread the Sign
