Palavra,Link,Instituicao
Estar bem,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_bem_estar_bem_STREAM.mp4,USP
Estranho,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_estranho_STREAM.mp4,USP
Estrategia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_estudar_STREAM.mp4,USP
Estudar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_ex-namorado_STREAM.mp4,USP
Ex-namorado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_facil_STREAM.mp4,USP
Facil,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_falar_STREAM.mp4,USP
Falar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_falhar_STREAM.mp4,USP
Falhar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_faltar_aula_STREAM.mp4,USP
Faltar a aula,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_familia_STREAM.mp4,USP
Familia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_fechar_porta_STREAM.mp4,USP
Fechar a porta,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_feio_STREAM.mp4,USP
Feio,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_feliz_STREAM.mp4,USP
Feliz,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_ferias_STREAM.mp4,USP
Ferias,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_fevereiro_STREAM.mp4,USP
Fevereiro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_ficar_STREAM.mp4,USP
Ficar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_filho_STREAM.mp4,USP
Filho,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_fim_STREAM.mp4,USP
Fim,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_fingir_STREAM.mp4,USP
Fingir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_fome_STREAM.mp4,USP
Fome,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_fora_STREAM.mp4,USP
FORA,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_forte_STREAM.mp4,USP
Forte,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_foto_STREAM.mp4,USP
Foto,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_fruta_STREAM.mp4,USP
Fruta,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_futebol_STREAM.mp4,USP
Futebol,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_futuro_STREAM.mp4,USP
Futuro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_gatao_boa_pinta_STREAM.mp4,USP
Gatao ou Boa pinta ou Gato,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_gestacao_STREAM.mp4,USP
Gestacao ou Gravidez,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_gostar_STREAM.mp4,USP
Gostar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_grande_STREAM.mp4,USP
Grande,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_guarda_de_transito_STREAM.mp4,USP
Guarda de Transito,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_guardanapo_STREAM.mp4,USP
Guardanapo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_historia_STREAM.mp4,USP
