Palavra,Link,Instituicao
APAGAR-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAGAR-LUZ.mp4,UFSC SignBank
APAGAR-QUADRO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAGAR-QUADRO.mp4,UFSC SignBank
APAGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAGAR.mp4,UFSC SignBank
APAIXONAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAIXONAR.mp4,UFSC SignBank
APARELHO-AUDITIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APARELHO-AUDITIVO.mp4,UFSC SignBank
APARELHO-DENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APARELHO-DENTE.mp4,UFSC SignBank
APARTAMENTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APARTAMENTO.mp4,UFSC SignBank
APARTAMENTO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APARTAMENTO2.mp4,UFSC SignBank
APAVORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAVORAR.mp4,UFSC SignBank
APELIDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APELIDO.mp4,UFSC SignBank
APERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APERTAR.mp4,UFSC SignBank
APITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APITAR.mp4,UFSC SignBank
APLAUDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APLAUDIR.mp4,UFSC SignBank
APOIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOIAR.mp4,UFSC SignBank
APOIAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOIAR2.mp4,UFSC SignBank
APOSENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOSENTAR.mp4,UFSC SignBank
APOSENTAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOSENTAR2.mp4,UFSC SignBank
APOSSAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOSSAR.mp4,UFSC SignBank
APOSTILA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APOSTILA.mp4,UFSC SignBank
APRENDER-ASL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APRENDER-ASL.mp4,UFSC SignBank
APRENDER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APRENDER.mp4,UFSC SignBank
APRESENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APRESENTAR.mp4,UFSC SignBank
APROVEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APROVEITAR.mp4,UFSC SignBank
